f  [Hz] 	 ZLong real [Ohm]	 ZLong imag [Ohm]	 ZLongSurf real [Ohm]	 ZLongSurf imag [Ohm]	 ZLongDSC real [Ohm]	 ZLongDSC imag [Ohm]	 ZLongISC real [Ohm]	 ZLongISC imag [Ohm]
57000000.0	0.07471143736476782	0.07471143708047102	0.0164299031935002	0.01642990313098007	-0.0	-73.93667291711232	0.0	56.68142778670723
58000000.0	0.07536350300421829	0.075363502712409	0.016573299917079117	0.0165732998529069	-0.0	-74.99008018188347	0.0	57.43214121414535
59000000.0	0.0760099517947274	0.0760099514953407	0.016715461431062093	0.016715461365223522	-0.0	-76.03932253376651	0.0	58.17869128134121
60000000.0	0.07665092545247969	0.07665092514545119	0.016856418900465835	0.016856418832946744	-0.0	-77.0844706260781	0.0	58.92114866837057
61000000.0	0.0772865598084656	0.07728655949373148	0.01699620219608526	0.016996202126871612	-0.0	-78.12559275740648	0.0	59.65958170057999
62000000.0	0.07791698514486486	0.0779169848223618	0.017134839968468075	0.01713483989754595	-0.0	-79.16275498743545	0.0	60.394056464411115
63000000.0	0.0785423265071075	0.07854232617677269	0.01727235971654059	0.01727235964389617	-0.0	-80.19602124529379	0.0	61.12463691575014
64000000.0	0.07916270399372871	0.0791627036554999	0.017408787851350107	0.01740878777696971	-0.0	-81.22545343102621	0.0	61.85138498139827
65000000.0	0.07977823302591788	0.07977823267973327	0.017544149755341878	0.017544149679211904	-0.0	-82.25111151071782	0.0	62.57436065419683
66000000.0	0.08038902459847415	0.08038902424427241	0.01767846983754709	0.017678469759654057	-0.0	-83.27305360576614	0.0	63.293622082298825
67000000.0	0.08099518551371288	0.08099518515143316	0.017811771585021598	0.017811771505352125	-0.0	-84.29133607674021	0.0	64.00922565302827
